id,date,comp_symbol,analyzed_articles,sentiment_score,sentiment,entry_price,created_at,updated_at
1,2025-05-01,AAPL,19,2,positive,213.32000732421875,2025-05-30T08:28:17.266882,2025-05-30T08:28:17.266882
16,2025-05-01,ADBE,16,0,neutral,374.6300048828125,2025-05-30T08:28:17.266882,2025-05-30T08:28:17.266882
19,2025-05-01,AMD,10,1,positive,96.6500015258789,2025-05-30T08:28:17.266882,2025-05-30T08:28:17.266882
3,2025-05-01,AMZN,12,-2,negative,190.1999969482422,2025-05-30T08:28:17.266882,2025-05-30T08:28:17.266882
18,2025-05-01,CRM,13,0,neutral,269.3299865722656,2025-05-30T08:28:17.266882,2025-05-30T08:28:17.266882
13,2025-05-01,DIS,11,-2,negative,90.80999755859375,2025-05-30T08:28:17.266882,2025-05-30T08:28:17.266882
6,2025-05-01,GOOGL,10,-1,negative,161.3000030517578,2025-05-30T08:28:17.266882,2025-05-30T08:28:17.266882
17,2025-05-01,INTC,20,0,neutral,19.979999542236328,2025-05-30T08:28:17.266882,2025-05-30T08:28:17.266882
9,2025-05-01,JPM,10,0,neutral,246.88999938964844,2025-05-30T08:28:17.266882,2025-05-30T08:28:17.266882
14,2025-05-01,KO,19,1,positive,71.29000091552734,2025-05-30T08:28:17.266882,2025-05-30T08:28:17.266882
5,2025-05-01,META,14,2,positive,572.2100219726562,2025-05-30T08:28:17.266882,2025-05-30T08:28:17.266882
2,2025-05-01,MSFT,12,2,positive,425.3999938964844,2025-05-30T08:28:17.266882,2025-05-30T08:28:17.266882
7,2025-05-01,NFLX,13,-2,negative,1133.469970703125,2025-05-30T08:28:17.266882,2025-05-30T08:28:17.266882
8,2025-05-01,NVDA,15,0,neutral,111.61000061035156,2025-05-30T08:28:17.266882,2025-05-30T08:28:17.266882
15,2025-05-01,PEP,17,-2,negative,133.5500030517578,2025-05-30T08:28:17.266882,2025-05-30T08:28:17.266882
12,2025-05-01,PG,14,-1,negative,159.97999572753906,2025-05-30T08:28:17.266882,2025-05-30T08:28:17.266882
20,2025-05-01,PYPL,10,0,neutral,65.41000366210938,2025-05-30T08:28:17.266882,2025-05-30T08:28:17.266882
4,2025-05-01,TSLA,10,1,positive,280.5199890136719,2025-05-30T08:28:17.266882,2025-05-30T08:28:17.266882
10,2025-05-01,V,16,0,neutral,342.45001220703125,2025-05-30T08:28:17.266882,2025-05-30T08:28:17.266882
11,2025-05-01,WMT,17,0,neutral,97.41000366210938,2025-05-30T08:28:17.266882,2025-05-30T08:28:17.266882
21,2025-04-01,AAPL,12,0,neutral,223.19000244140625,2025-05-30T08:28:17.266882,2025-05-30T08:28:17.266882
36,2025-04-01,ADBE,11,2,positive,383.20001220703125,2025-05-30T08:28:17.266882,2025-05-30T08:28:17.266882
39,2025-04-01,AMD,19,-2,negative,102.77999877929688,2025-05-30T08:28:17.266882,2025-05-30T08:28:17.266882
23,2025-04-01,AMZN,17,1,positive,192.1699981689453,2025-05-30T08:28:17.266882,2025-05-30T08:28:17.266882
38,2025-04-01,CRM,16,2,positive,270.20001220703125,2025-05-30T08:28:17.266882,2025-05-30T08:28:17.266882
33,2025-04-01,DIS,12,-2,negative,97.68000030517578,2025-05-30T08:28:17.266882,2025-05-30T08:28:17.266882
26,2025-04-01,GOOGL,16,2,positive,157.07000732421875,2025-05-30T08:28:17.266882,2025-05-30T08:28:17.266882
37,2025-04-01,INTC,14,1,positive,22.049999237060547,2025-05-30T08:28:17.266882,2025-05-30T08:28:17.266882
29,2025-04-01,JPM,17,2,positive,243.66000366210938,2025-05-30T08:28:17.266882,2025-05-30T08:28:17.266882
34,2025-04-01,KO,19,1,positive,71.87000274658203,2025-05-30T08:28:17.266882,2025-05-30T08:28:17.266882
25,2025-04-01,META,16,-1,negative,586.0,2025-05-30T08:28:17.266882,2025-05-30T08:28:17.266882
22,2025-04-01,MSFT,12,-2,negative,382.19000244140625,2025-05-30T08:28:17.266882,2025-05-30T08:28:17.266882
27,2025-04-01,NFLX,15,-2,negative,928.3800048828125,2025-05-30T08:28:17.266882,2025-05-30T08:28:17.266882
28,2025-04-01,NVDA,13,0,neutral,110.1500015258789,2025-05-30T08:28:17.266882,2025-05-30T08:28:17.266882
35,2025-04-01,PEP,20,0,neutral,149.6699981689453,2025-05-30T08:28:17.266882,2025-05-30T08:28:17.266882
32,2025-04-01,PG,20,2,positive,170.55999755859375,2025-05-30T08:28:17.266882,2025-05-30T08:28:17.266882
40,2025-04-01,PYPL,16,-2,negative,66.0999984741211,2025-05-30T08:28:17.266882,2025-05-30T08:28:17.266882
24,2025-04-01,TSLA,18,2,positive,268.4599914550781,2025-05-30T08:28:17.266882,2025-05-30T08:28:17.266882
30,2025-04-01,V,10,0,neutral,346.3500061035156,2025-05-30T08:28:17.266882,2025-05-30T08:28:17.266882
31,2025-04-01,WMT,16,0,neutral,88.83000183105469,2025-05-30T08:28:17.266882,2025-05-30T08:28:17.266882
